"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E610","2020-04-19 00:00:00","850.000","0.000","0.000","19.000","0.830","921.100","","0.000","-99.000","-99.000","-99.000","24.400","","17.400",""
"C0R280","2020-04-19 00:00:00","242.000","0.000","0.100","24.000","0.960","987.300","","0.000","-99.000","-99.000","-99.000","30.400","","21.800",""
"C0V450","2020-04-19 00:00:00","51.000","0.000","0.100","25.400","0.990","1007.600","","0.000","-99.000","-99.000","-99.000","30.600","","20.700",""
"C0X290","2020-04-19 00:00:00","10.000","0.000","0.000","26.200","0.850","1012.400","","0.000","-99.000","-99.000","-99.000","29.200","","22.000",""
"C0U760","2020-04-19 00:00:00","22.000","0.000","0.000","22.000","0.990","1013.100","","0.000","-99.000","-99.000","-99.000","29.700","","19.100",""
"C0U780","2020-04-19 00:00:00","15.000","235.000","0.600","24.100","0.970","1012.900","","0.000","-99.000","-99.000","-99.000","27.100","","20.000",""
"C0H9C0","2020-04-19 00:00:00","3402.000","297.000","1.000","6.900","0.550","679.800","","0.000","-99.000","-99.000","-99.000","10.300","","1.700",""
"C0R830","2020-04-19 00:00:00","383.000","90.000","0.900","23.000","0.990","971.100","","0.000","-99.000","-99.000","-99.000","26.200","","21.600",""
"C0V650","2020-04-19 00:00:00","28.000","85.000","1.100","26.000","0.880","1012.400","","0.000","-99.000","-99.000","-99.000","28.900","","22.100",""
"C0R720","2020-04-19 00:00:00","214.000","140.000","2.600","24.600","0.980","990.500","","0.000","-99.000","-99.000","-99.000","29.200","","22.700",""
"C0K470","2020-04-19 00:00:00","97.000","0.000","0.000","23.500","0.990","1002.800","","0.000","-99.000","-99.000","-99.000","30.600","","19.000",""
"C0R800","2020-04-19 00:00:00","131.000","93.000","1.700","24.800","0.860","999.100","","0.000","-99.000","-99.000","-99.000","32.200","","22.300",""
"C0T9N0","2020-04-19 00:00:00","261.000","163.000","0.900","22.600","0.900","985.500","","0.000","-99.000","-99.000","-99.000","29.200","","18.000",""
"CM0180","2020-04-19 00:00:00","313.000","286.000","0.400","23.200","0.840","979.500","","0.000","-99.000","-99.000","-99.000","33.700","","16.900",""
"C0Z070","2020-04-19 00:00:00","247.000","0.000","0.000","22.700","0.990","986.200","","0.000","-99.000","-99.000","-99.000","30.500","","18.400",""
"C0Z280","2020-04-19 00:00:00","224.000","159.000","0.700","22.600","0.990","990.600","","0.000","-99.000","-99.000","-99.000","29.700","","18.500",""
"C0SA40","2020-04-19 00:00:00","200.000","0.000","0.100","21.700","0.950","992.500","","0.000","-99.000","-99.000","-99.000","29.100","","18.500",""
"C0V440","2020-04-19 00:00:00","27.000","111.000","0.500","27.000","0.800","1010.200","","0.000","-99.000","-99.000","-99.000","32.200","","22.300",""
"C0R490","2020-04-19 00:00:00","49.000","0.000","0.100","26.100","0.840","1007.600","","0.000","-99.000","-99.000","-99.000","32.900","","21.600",""
"C0B010","2020-04-19 00:00:00","38.000","200.000","0.400","21.500","0.970","1007.300","","0.000","-99.000","-99.000","-99.000","27.100","","18.600",""
"C0X230","2020-04-19 00:00:00","29.000","90.000","0.300","25.500","0.810","1011.700","","0.000","-99.000","-99.000","-99.000","30.800","","20.600",""
"C0S770","2020-04-19 00:00:00","375.000","233.000","1.100","21.500","1.000","972.300","","0.000","-99.000","-99.000","-99.000","27.900","","19.400",""
"C0H890","2020-04-19 00:00:00","440.000","0.000","0.000","21.100","0.890","964.300","","0.000","-99.000","-99.000","-99.000","29.000","","16.900",""
"C0K480","2020-04-19 00:00:00","56.000","0.000","0.000","25.100","0.870","1007.100","","0.000","-99.000","-99.000","-99.000","29.500","","20.800",""
"C0R540","2020-04-19 00:00:00","17.000","345.000","1.000","26.500","0.860","1011.400","","0.000","-99.000","-99.000","-99.000","29.700","","21.600",""
"C0A560","2020-04-19 00:00:00","405.000","0.000","0.000","18.700","1.000","969.100","","0.000","-99.000","-99.000","-99.000","29.500","","13.600",""
"C0Z160","2020-04-19 00:00:00","124.000","207.000","0.900","23.000","0.920","1003.500","","0.000","-99.000","-99.000","-99.000","29.000","","18.700",""
"C0AH50","2020-04-19 00:00:00","275.000","114.000","0.700","22.100","0.990","982.500","","0.000","-99.000","-99.000","-99.000","25.900","","19.900",""
"C0F850","2020-04-19 00:00:00","379.000","115.000","0.300","21.600","0.920","970.900","","0.000","-99.000","-99.000","-99.000","28.800","","16.200",""
"C0G800","2020-04-19 00:00:00","15.000","0.000","0.000","24.700","0.970","1011.800","","0.000","-99.000","-99.000","-99.000","30.300","","20.700",""
